datetime,headline,keywords
2024-02-20T13:19:19+0000,"Will Food Inflation Slow Down?","[Supermarkets and Grocery Stores|Restaurants|Prices (Fares, Fees and Rates)|Food|Consumer Behavior|Inflation (Economics)|United States Economy|United States Politics and Government|Presidential Election of 2024]"
2024-02-14T15:28:49+0000,"Surprisingly Resilient Job Market Has Three Lessons for Us","[United States Economy|Recession and Depression|Labor and Jobs|Hiring and Promotion|Prices (Fares, Fees and Rates)|Inflation (Economics)|Interest Rates|Economics (Theory and Philosophy)]"
2024-04-12T10:00:12+0000,"As Maine Ages, Immigrants Pick Up Labor Slack","[Fishing, Commercial|Foreign Workers|Illegal Immigration|Immigration and Emigration|Labor and Jobs|United States Economy|Federal-State Relations (US)]"
2024-02-21T10:03:11+0000,"Is the Economy  About to Party  Like It’s 1994?","[United States Economy|Productivity|Labor and Jobs|Computers and the Internet|Telecommuting|Innovation|Layoffs and Job Reductions]"
2024-02-07T13:44:29+0000,"Mexico Bests China In Imports To the U.S.","[International Trade and World Market|United States Economy|Factories and Manufacturing|Supply Chain|Customs (Tariff)|United States Politics and Government|United States International Relations|Russian Invasion of Ukraine (2022)]"
2024-01-20T10:03:04+0000,"U.S. May Be Dodging a Recession, but Risks Remain","[United States Economy|Recession and Depression|Interest Rates|Inflation (Economics)|Labor and Jobs|audio-neutral-informative]"
2024-02-19T10:04:08+0000,"U.S. Awards Chipmaker $1.5 Billion To Expand","[Computer Chips|Shortages|Labor and Jobs|Grants (Corporate and Foundation)|Supply Chain|United States Economy|United States Politics and Government|Budgets and Budgeting|Factories and Manufacturing]"
2024-02-29T15:02:47+0000,"Migrants, Ready to Work, Face Many Roadblocks","[United States Economy|Immigration and Emigration|Illegal Immigration|Asylum, Right of|Temporary Protected Status (US Immigration)|Foreign Workers|Labor and Jobs|Law and Legislation|United States Politics and Government]"
2024-01-31T17:03:15+0000,"Is Fed Poised To Cut Rates? Not Just Yet.","[United States Economy|Interest Rates|Inflation (Economics)]"
2024-01-11T10:00:35+0000,"U.S. Inflation Kept Slowing At End of ’23","[Prices (Fares, Fees and Rates)|United States Economy|Consumer Price Index|Inflation (Economics)|Interest Rates|Wages and Salaries]"
2024-02-02T19:09:10+0000,"Economies Worldwide Can’t Match U.S. Growth","[United States Economy|Economic Conditions and Trends|Labor and Jobs|Inflation (Economics)|Banking and Financial Institutions]"
2024-03-08T10:03:31+0000,"Hiring Trend Stays Strong As U.S. Adds 275,000 Jobs","[Labor and Jobs|United States Economy|Hiring and Promotion|Wages and Salaries|Layoffs and Job Reductions]"
2024-01-25T15:16:12+0000,"Housing Market’s Bright Spot","[Real Estate and Housing (Residential)|Mortgages|Building (Construction)|United States Economy]"
2024-04-11T09:05:45+0000,"‘No Landing’ For Economy Concerns Fed","[United States Economy|Inflation (Economics)|Interest Rates|Banking and Financial Institutions]"
2024-03-22T13:31:53+0000,"Cash Influx Sends Stocks On a Streak","[Stocks and Bonds|United States Economy|Interest Rates|Standard & Poor's 500-Stock Index|Dow Jones Stock Average|Nasdaq Composite Index]"
2024-02-13T10:04:37+0000,"Inflation Not Cooling As Quickly As Forecast","[United States Economy|Inflation (Economics)|Prices (Fares, Fees and Rates)|Supply Chain|Interest Rates|Consumer Price Index]"
2024-01-30T10:02:02+0000,"Fed Weighs Rate Cuts Vs. Growth","[United States Economy|Interest Rates|Banking and Financial Institutions|Consumer Behavior|Inflation (Economics)|Credit and Debt]"
2024-03-12T09:30:38+0000,"Modest Rise in Inflation Backs Up Fed’s Caution","[Prices (Fares, Fees and Rates)|Consumer Price Index|Interest Rates|Inflation (Economics)|United States Economy]"
2024-02-19T18:00:25+0000,"Are E.V.s Job Killers or Job Creators?","[Electric and Hybrid Vehicles|Labor and Jobs|Factories and Manufacturing|Layoffs and Job Reductions|Organized Labor|Presidential Election of 2024|Vocational Training|Wages and Salaries|United States Politics and Government|United States Economy|Batteries|Automobiles]"
2024-04-10T09:21:33+0000,"Strong Inflation in March Complicates the Fed’s Plan","[Inflation (Economics)|United States Economy|Interest Rates|Consumer Price Index]"
2024-03-08T04:45:37+0000,"In Pitch to Nation, Biden Says Trump Poses Dire Threat","[State of the Union Message (US)|United States Politics and Government|United States International Relations|United States Economy|Presidential Election of 2024|Israel-Gaza War (2023- )|Russian Invasion of Ukraine (2022)|Abortion|Immigration and Emigration|Age, Chronological]"
2024-01-22T10:00:20+0000,"Tracing the Outsize Impact Of the ‘Magnificent Seven’","[Standard & Poor's 500-Stock Index|United States Economy|Corporations|Computers and the Internet]"
