datetime,headline,keywords
2021-03-12T02:38:40+0000,"President’s Goal: July 4 Gatherings With Close Family","[Speeches and Statements|Coronavirus (2019-nCoV)|Vaccination and Immunization|Stimulus (Economic)|American Rescue Plan (2021)|United States Economy|United States Politics and Government]"
2021-02-05T10:00:19+0000,"Putting Value on Black Women’s Activism","[Content Type: Personal Profile|Volunteers and Community Service|Black People|Blacks|Women and Girls|Discrimination|Women's Rights|Labor and Jobs|Economics (Theory and Philosophy)|United States Economy]"
2021-09-09T09:00:16+0000,"Do We Have the Skills To Build Back Better?","[Labor and Jobs|Shortages|Infrastructure (Public Works)|American Jobs Plan (2021)|United States Economy|United States Politics and Government|Vocational Training]"
2021-10-05T19:26:08+0000,"Fed Tumult Puts Focus on Powell’s Future","[United States Economy|Banking and Financial Institutions|Ethics and Official Misconduct|Insider Trading|United States Politics and Government]"
2021-05-12T09:04:37+0000,"Prices Jump, Along With Worry For the Economy and Shoppers","[Consumer Price Index|Inflation (Economics)|Prices (Fares, Fees and Rates)|United States Economy|Stocks and Bonds]"
2021-07-15T17:49:50+0000,"Budget Aims At Reshaping An Economy","[Federal Budget (US)|United States Economy|United States Politics and Government|American Rescue Plan (2021)|American Jobs Plan (2021)|American Families Plan (2021)|Stimulus (Economic)|Law and Legislation|Income Inequality|Medicare|Child Tax Credits and Stipends|Federal Taxes (US)]"
2021-05-05T09:00:23+0000,"Forsaken Places Put Faith in Agenda","[American Jobs Plan (2021)|Infrastructure (Public Works)|United States Economy|United States Politics and Government]"
2021-11-19T16:55:31+0000,"Mounting Crises Provided Tailwind for Passage","[American Families Plan (2021)|Patient Protection and Affordable Care Act (2010)|Law and Legislation|Income Inequality|United States Economy|United States Politics and Government]"
2021-10-08T09:00:45+0000,"U.S. Job Growth Can’t Overcome Delta’s Shadow","[United States Economy|Labor and Jobs|Coronavirus (2019-nCoV)|Unemployment|Hiring and Promotion|Unemployment Insurance|Coronavirus Reopenings]"
2021-06-05T09:00:20+0000,"Uncertainty As States Cut U.S. Benefits For Jobless","[Unemployment Insurance|Labor and Jobs|Unemployment|Coronavirus (2019-nCoV)|United States Economy|States (US)|Federal Aid (US)]"
2021-04-02T08:46:41+0000,"Largest Gains In Job Market Since August ","[United States Economy|Unemployment|Labor and Jobs|Coronavirus (2019-nCoV)|Layoffs and Job Reductions]"
2021-10-26T09:00:22+0000,"Rising Prices  Complicate  Biden’s Plans  For Recovery","[Prices (Fares, Fees and Rates)|Inflation (Economics)|Polls and Public Opinion|United States Economy|United States Politics and Government]"
2021-07-29T09:03:32+0000,"U.S. Economy Regains Losses As Delta Lurks","[United States Economy|Coronavirus (2019-nCoV)|Gross Domestic Product|Consumer Behavior|Inflation (Economics)|Labor and Jobs|Stimulus (Economic)]"
2021-11-30T16:03:39+0000,"Spurred by Fears Over Inflation, Fed Signals End to Fiscal Support","[Inflation (Economics)|Quantitative Easing|Stimulus (Economic)|Banking and Financial Institutions|United States Economy|United States Politics and Government]"
2021-05-11T07:00:17+0000,"Beach Town Lures Labor With Bonuses and Beer","[United States Economy|Coronavirus (2019-nCoV)|Shortages|Labor and Jobs|Hiring and Promotion|Wages and Salaries|Employee Fringe Benefits|Unemployment|Unemployment Insurance|Foreign Workers|Summer (Season)|United States Politics and Government]"
2021-03-05T10:19:59+0000,"Surprise Jump In Job Growth Stirs Optimism","[Labor and Jobs|Unemployment|Recession and Depression|Coronavirus (2019-nCoV)|Shutdowns (Institutional)|United States Economy|Restaurants|Bars and Nightclubs|Hiring and Promotion|Layoffs and Job Reductions]"
2021-03-06T17:25:15+0000,"Senate Approves $1.9 Trillion in Aid for Ailing Nation","[American Rescue Plan (2021)|Stimulus (Economic)|Coronavirus (2019-nCoV)|Federal Aid (US)|United States Economy|United States Politics and Government]"
2021-12-15T22:28:37+0000,"What Drove Powell’s Pivot On Inflation","[Inflation (Economics)|Prices (Fares, Fees and Rates)|Interest Rates|Quantitative Easing|Stimulus (Economic)|Banking and Financial Institutions|United States Economy|United States Politics and Government]"
2021-05-20T09:00:30+0000,"Time to Panic on Inflation? Ask These Questions First.","[United States Economy|Inflation (Economics)|Prices (Fares, Fees and Rates)|Wages and Salaries|Interest Rates|Content Type: Service|Economics (Theory and Philosophy)]"
2021-11-03T18:00:27+0000,"Fed Dials Back Stimulus Policy As Prices Jump","[Inflation (Economics)|Prices (Fares, Fees and Rates)|Labor and Jobs|Quantitative Easing|Stimulus (Economic)|Interest Rates|Government Bonds|United States Economy|Banking and Financial Institutions|Coronavirus (2019-nCoV)]"
2021-04-29T00:01:40+0000,"Biden Makes Case to Vastly Expand Government Role","[State of the Union Message (US)|American Families Plan (2021)|American Jobs Plan (2021)|American Rescue Plan (2021)|United States Economy|Coronavirus (2019-nCoV)|Presidents and Presidency (US)|Speeches and Statements|United States Politics and Government]"
2021-01-28T08:53:46+0000,"Late-Year Slowdown Shook Economy","[United States Economy|Stimulus (Economic)|Coronavirus Aid, Relief, and Economic Security Act (2020)|Gross Domestic Product|Labor and Jobs|Consumer Behavior|Unemployment|Unemployment Insurance|Federal Aid (US)|Shutdowns (Institutional)|Coronavirus (2019-nCoV)]"
2021-08-09T09:00:18+0000,"This Is a Terrible Time for Savers","[United States Economy|Inflation (Economics)|Interest Rates|Stocks and Bonds|Savings|Stimulus (Economic)|Content Type: Service|Personal Finances]"
2021-10-17T23:27:03+0000,"Debate Weighs Price of Big Bill Vs. Not Acting  ","[American Families Plan (2021)|American Jobs Plan (2021)|Federal Budget (US)|Federal Taxes (US)|United States Economy|United States Politics and Government|Greenhouse Gas Emissions|Global Warming|Inflation (Economics)]"
2021-01-16T10:00:08+0000,"Fear an Overflowing Tub More Than Hungry Bears","[United States Economy|Inflation (Economics)|Prices (Fares, Fees and Rates)|Consumer Price Index|Coronavirus (2019-nCoV)|Quarantine (Life and Culture)|Content Type: Service]"
2021-05-03T09:00:16+0000,"Supplies Stall, And Costs Hit U.S. Business","[Shortages|Commodities|United States Economy|International Trade and World Market|Computer Chips|Prices (Fares, Fees and Rates)|Inflation (Economics)|Automobiles|Coronavirus (2019-nCoV)|Factories and Manufacturing|Building (Construction)]"
2021-03-07T20:31:46+0000,"With $300 Monthly, Relief Bill Ushers Revolution in Child Aid","[Children and Childhood|Families and Family Life|Parenting|Income Inequality|Poverty|Black People|Blacks|Coronavirus (2019-nCoV)|American Rescue Plan (2021)|Stimulus (Economic)|United States Economy|United States Politics and Government|Income Tax|Tax Credits, Deductions and Exemptions|Unemployment|Welfare (US)|Law and Legislation|Child Tax Credits and Stipends]"
2021-08-20T10:00:11+0000,"Benefit Cutoffs  Failing to Ease Labor Shortfall","[Unemployment Insurance|Labor and Jobs|Shortages|Unemployment|Research|States (US)|United States Economy|Federal Aid (US)|American Rescue Plan (2021)|United States Politics and Government]"
2021-04-21T09:00:26+0000,"After Lockdown, A YOLO Economy","[Labor and Jobs|Millennial Generation|Employee Fringe Benefits|Unemployment|United States Economy|Wages and Salaries|Paid Time Off|Coronavirus (2019-nCoV)|Quarantine (Life and Culture)]"
2021-03-10T23:59:48+0000,"Congress Passes Biden’s $1.9 Trillion Aid Bill","[American Rescue Plan (2021)|Federal Aid (US)|Stimulus (Economic)|Unemployment Insurance|Tax Credits, Deductions and Exemptions|Coronavirus (2019-nCoV)|United States Economy|United States Politics and Government]"
2021-07-09T09:00:22+0000,"Global Taxes Are at Heart Of G20 Talks","[Federal Taxes (US)|Corporate Taxes|International Trade and World Market|United States Economy|Tax Shelters]"
2021-04-01T11:19:52+0000,"Tech Fuels Markets to Another Record","[Stocks and Bonds|Infrastructure (Public Works)|Standard & Poor's 500-Stock Index|Nasdaq Composite Index|United States Economy|United States Politics and Government|American Jobs Plan (2021)]"
2021-10-13T09:00:21+0000,"Shadow of ‘Stagflation’ Makes Investors Nervous","[United States Economy|Stocks and Bonds|Inflation (Economics)|Prices (Fares, Fees and Rates)|International Trade and World Market|Nineteen Hundred Seventies]"
2021-11-12T16:32:48+0000,"Millions Quit  Jobs in U.S.  In September","[Labor and Jobs|Coronavirus (2019-nCoV)|United States Economy|Unemployment|Wages and Salaries|Hiring and Promotion]"
2021-06-21T07:00:12+0000,"Lumber Prices Are Falling, And So Are Inflation Fears","[United States Economy|Consumer Price Index|Prices (Fares, Fees and Rates)|Inflation (Economics)|Wood and Wood Products|Stimulus (Economic)|Labor and Jobs]"
2021-08-10T16:46:01+0000,"Productivity Is Booming. What’s Less Clear Is for How Long.","[Quarantine (Life and Culture)|Labor and Jobs|Productivity|United States Economy|Coronavirus (2019-nCoV)|Coronavirus Reopenings|Telecommuting]"
2021-07-02T21:02:14+0000,"Robust Jobs Report Is Boon For Biden’s Economic Plan","[Labor and Jobs|United States Economy|Wages and Salaries|American Rescue Plan (2021)|Coronavirus Reopenings]"
2021-07-04T09:00:11+0000,"U.S. Surges, But Politics Hold Firm","[Presidential Election of 2020|United States Politics and Government|Polls and Public Opinion|United States Economy]"
2021-01-15T23:18:33+0000,"Lesson Taken: A Rescue Plan That Aims Big","[Coronavirus (2019-nCoV)|Vaccination and Immunization|Coronavirus Aid, Relief, and Economic Security Act (2020)|Stimulus (Economic)|United States Economy|United States Politics and Government|Federal Budget (US)]"
2021-10-19T14:57:31+0000,"Economic Gains Hobbled As Labor Market Shrinks","[Labor and Jobs|Shortages|Coronavirus (2019-nCoV)|Coronavirus Reopenings|Quarantine (Life and Culture)|United States Economy|Work-Life Balance|Savings|Wages and Salaries]"
2021-09-23T00:40:20+0000,"Biden Agenda Is Jeopardized As Party Splits","[Federal Budget (US)|National Debt (US)|American Jobs Plan (2021)|Infrastructure (Public Works)|Law and Legislation|United States Economy|United States Politics and Government]"
2021-06-05T11:37:26+0000,"G7 Finance Leaders Reach a Deal to Curb Offshore Tax Havens","[Corporate Taxes|Tax Shelters|Federal Taxes (US)|United States Economy|United States International Relations|United States Politics and Government|International Trade and World Market]"
2021-11-01T15:06:46+0000,"How the Pandemic Has Given Workers New Leverage","[Strikes|Labor and Jobs|Organized Labor|Coronavirus (2019-nCoV)|Factories and Manufacturing|United States Economy|Wages and Salaries]"
2021-03-31T20:51:20+0000,"Biden Unveils Plan For an Electric Future","[Automobiles|Electric and Hybrid Vehicles|Infrastructure (Public Works)|Factories and Manufacturing|Organized Labor|Tax Credits, Deductions and Exemptions|United States Economy|United States Politics and Government|American Jobs Plan (2021)]"
2021-07-15T10:09:02+0000,"Inflation Isn’t the Problem in Japan. It’s the Reverse.","[Economic Conditions and Trends|Inflation (Economics)|Deflation (Economics)|Prices (Fares, Fees and Rates)|United States Economy|Coronavirus (2019-nCoV)]"
2021-06-01T09:00:24+0000,"Why the World  Has Run Short  Of Everything","[Shortages|Factories and Manufacturing|International Trade and World Market|Automobiles|Computer Chips|Shutdowns (Institutional)|Ships and Shipping|Stockpiling|Stock Buybacks|United States Economy|Coronavirus (2019-nCoV)]"
2021-10-27T09:00:24+0000,"The Poor Feel the Strain as Food Prices Surge","[Food|Prices (Fares, Fees and Rates)|Inflation (Economics)|Food Banks and Pantries|Food Insecurity|Poverty|Social Conditions and Trends|United States Economy]"
2021-12-25T16:51:01+0000,"As Prices Rise, Biden Deploys Antitrust Team","[Antitrust Laws and Competition Issues|Corporations|Prices (Fares, Fees and Rates)|Inflation (Economics)|Price Gouging|Meat|Oil (Petroleum) and Gasoline|Supply Chain|United States Economy|United States Politics and Government]"
2021-01-11T15:46:28+0000,"It Could Be a Great Year, If Your Business Survives Winter","[Coronavirus (2019-nCoV)|Stimulus (Economic)|Coronavirus Aid, Relief, and Economic Security Act (2020)|Small Business|United States Economy|Labor and Jobs]"
2021-04-09T09:00:20+0000,"Beyond Covid’s Turmoil, Race Wealth Gap Lingers","[Race and Ethnicity|United States Economy|Discrimination|Black People|Blacks|American Rescue Plan (2021)|Economics (Theory and Philosophy)|Income Inequality|Child Savings Accounts]"
2021-10-12T21:54:42+0000,"Supply Gridlock and Virus Hinder Global Recovery","[Economic Conditions and Trends|Coronavirus (2019-nCoV)|International Trade and World Market|Shortages|Income Inequality|United States Economy|Shutdowns (Institutional)|Prices (Fares, Fees and Rates)|Factories and Manufacturing|Oil (Petroleum) and Gasoline|Inflation (Economics)]"
2021-01-23T10:00:19+0000,"The Global Cost of Unequal Vaccination","[Coronavirus (2019-nCoV)|Vaccination and Immunization|Economic Conditions and Trends|United States Economy|Third World and Developing Countries|International Trade and World Market|Poverty|United States Politics and Government]"
2021-08-16T16:04:39+0000,"Yellen Has Chance to Remake Fed","[United States Economy|United States Politics and Government|Banking and Financial Institutions|Appointments and Executive Changes]"
2021-10-15T07:00:07+0000,"Rising Rents Fuel Inflation,  Posing Trouble for the Fed","[Renting and Leasing (Real Estate)|Consumer Price Index|Inflation (Economics)|United States Economy]"
2021-12-14T10:00:15+0000,"Your Inflation Worries Say a Lot  About You (and May Affect Inflation)","[United States Economy|Inflation (Economics)|Consumer Price Index|Prices (Fares, Fees and Rates)|Consumer Behavior|Research|Age, Chronological|Income]"
2021-10-17T23:08:17+0000,"Don’t Call It a Cold War: U.S. Labors to Name China Rivalry","[United States International Relations|Cold War Era|International Relations|United States Economy|Cyberwarfare and Defense|United States Defense and Military Forces]"
2021-11-08T23:33:31+0000,"Borders Reopen  to Giddy Crowds  Traveling to U.S.","[Travel Warnings|Travel and Vacations|Quarantine (Life and Culture)|Coronavirus (2019-nCoV)|Coronavirus Reopenings|United States Economy]"
2021-06-23T09:00:24+0000,"Infrastructure Near a Deal; Senator Cites Breakthrough","[American Jobs Plan (2021)|Infrastructure (Public Works)|United States Politics and Government|United States Economy|Federal Budget (US)|Tax Credits, Deductions and Exemptions]"
2021-03-25T10:30:19+0000,"Job Market Shows Signs Of Regaining What It Lost","[Unemployment Insurance|Unemployment|United States Economy|Labor and Jobs|American Rescue Plan (2021)|Layoffs and Job Reductions]"
2021-02-23T22:24:21+0000,"Powell Warns Economy Faces Hazy Prospects","[Interest Rates|Inflation (Economics)|Quantitative Easing|United States Economy|United States Politics and Government|Stimulus (Economic)]"
2021-08-23T09:00:12+0000,"An Economy Running Hot Could Burn","[United States Economy|Inflation (Economics)|Wages and Salaries|Economics (Theory and Philosophy)|Labor and Jobs|Income Inequality]"
2021-08-10T15:34:29+0000,"$1 Trillion Plan to Fix and Build Passes in Senate ","[American Jobs Plan (2021)|Infrastructure (Public Works)|Law and Legislation|Federal Budget (US)|Federal Taxes (US)|United States Economy|United States Politics and Government|Bridges and Tunnels|Global Warming|Alternative and Renewable Energy|Electric Light and Power|Water Pollution]"
2021-11-21T10:00:20+0000,"How U.S. Lost a Clean Energy Treasure to China","[Mines and Mining|Cobalt|United States Economy|Politics and Government|United States Politics and Government|Oil (Petroleum) and Gasoline|Electric and Hybrid Vehicles|Alternative and Renewable Energy|Automobiles|Greenhouse Gas Emissions|United States International Relations]"
2021-02-21T20:00:08+0000,"Economists See Possible Boom Post-Pandemic","[United States Economy|Recession and Depression|Coronavirus (2019-nCoV)|Gross Domestic Product|Labor and Jobs|Productivity|Unemployment]"
2021-07-06T22:00:58+0000,"Local Leaders Prove Inventive As Aid Arrives","[American Rescue Plan (2021)|United States Politics and Government|United States Economy|Stimulus (Economic)|Coronavirus (2019-nCoV)|States (US)|Local Government|Urban Areas]"
2021-07-19T13:19:45+0000,"Stocks Tumble  As Virus Fears  Revisit Wall St.","[United States Economy|Coronavirus (2019-nCoV)|Stocks and Bonds|Oil (Petroleum) and Gasoline|Standard & Poor's 500-Stock Index]"
2021-11-06T16:00:11+0000,"America’s Economy Is Strong, Even if It Doesn’t Feel That Way","[United States Economy|Inflation (Economics)|Prices (Fares, Fees and Rates)|Labor and Jobs|Wages and Salaries|Consumer Price Index|Polls and Public Opinion|United States Politics and Government]"
2021-08-23T09:00:13+0000,"Why Supply Chains Are a Mess","[United States Economy|Prices (Fares, Fees and Rates)|Ships and Shipping|Inflation (Economics)|Bicycles and Bicycling|Coronavirus (2019-nCoV)|Factories and Manufacturing|International Trade and World Market]"
2021-05-22T16:15:09+0000,"As Prices Rise, Biden and Fed See a Rebound","[United States Economy|Labor and Jobs|Wages and Salaries|Hiring and Promotion|Polls and Public Opinion|Prices (Fares, Fees and Rates)|Inflation (Economics)|United States Politics and Government]"
2021-05-02T16:14:28+0000,"Spending Plan Aims to Bolster Middle Class","[United States Economy|Labor and Jobs|Wages and Salaries|American Jobs Plan (2021)|American Families Plan (2021)|Social Conditions and Trends|Child Care|United States Politics and Government|Paid Time Off|Economics (Theory and Philosophy)|Discrimination]"
2021-06-25T09:00:36+0000,"Larry Summers: Yelling From the Sidelines","[Content Type: Personal Profile|United States Economy|United States Politics and Government|Inflation (Economics)|American Rescue Plan (2021)]"
2021-07-19T15:40:26+0000,"Democrats Plan Carbon Tariff That Hauls In Billions a Year","[Global Warming|Greenhouse Gas Emissions|Carbon Caps and Emissions Trading Programs|Customs (Tariff)|International Trade and World Market|Carbon Dioxide|United States Economy|Budgets and Budgeting|United Nations Framework Convention on Climate Change|United States Politics and Government]"
2021-06-08T14:13:50+0000,"Showing Job Applicants the Money, And the Tuition, and the Steak Knives","[Hiring and Promotion|Labor and Jobs|Wages and Salaries|Motivation and Incentive Programs|Employee Fringe Benefits|Coronavirus Reopenings|United States Economy|Layoffs and Job Reductions|Unemployment]"
2021-05-17T07:00:10+0000,"Why Hinterlands Need Broadband","[Rural Areas|Computers and the Internet|Infrastructure (Public Works)|United States Economy|Labor and Jobs|American Jobs Plan (2021)|Factories and Manufacturing]"
2021-04-22T18:02:57+0000,"Targets That Would Alter Life in U.S","[Global Warming|Greenhouse Gas Emissions|Carbon Capture and Sequestration|Carbon Caps and Emissions Trading Programs|Carbon Dioxide|Electric and Hybrid Vehicles|Alternative and Renewable Energy|Regulation and Deregulation of Industry|United States Economy|United States Politics and Government]"
2021-09-08T16:19:05+0000,"Pandemic Aid  Prevented Rise  In Hunger Rate ","[Food Insecurity|American Rescue Plan (2021)|Coronavirus Aid, Relief, and Economic Security Act (2020)|Coronavirus (2019-nCoV)|Food Banks and Pantries|Lunch and Breakfast Programs|Welfare (US)|United States Politics and Government|Recession and Depression|United States Economy]"
2021-09-14T08:59:48+0000,"Slight Price Gains in August Signal Cooling Inflation","[United States Economy|Inflation (Economics)|Consumer Price Index|Prices (Fares, Fees and Rates)]"
2021-06-27T16:40:32+0000,"Unemployed Still Choosy Despite Loss Of Benefits","[Labor and Jobs|Wages and Salaries|Unemployment Insurance|Hiring and Promotion|United States Economy|Unemployment|Employment Agencies]"
2021-05-05T22:57:36+0000,"Biden Leans Into His Plan To Tax America’s Richest","[Income Tax|Federal Taxes (US)|Corporate Taxes|High Net Worth Individuals|American Jobs Plan (2021)|United States Economy|United States Politics and Government|Tax Cuts and Jobs Act (2017)|Infrastructure (Public Works)]"
2021-11-06T16:45:02+0000,"How Bill to Fix  Infrastructure  Survived Brawl","[Infrastructure (Public Works)|American Jobs Plan (2021)|Law and Legislation|United States Economy|United States Politics and Government]"
2021-03-24T13:49:07+0000,"Overheating: Overhyped? Experts Differ on Inflation.","[United States Economy|Inflation (Economics)|American Rescue Plan (2021)|Recession and Depression|Economics (Theory and Philosophy)|Interest Rates|United States Politics and Government]"
2021-08-03T07:00:10+0000,"New Risks Cloud Hopes For Economy In Autumn","[United States Economy|Labor and Jobs|Unemployment Insurance|American Rescue Plan (2021)|United States Politics and Government|Coronavirus Aid, Relief, and Economic Security Act (2020)|Interest Rates|Stimulus (Economic)|American Jobs Plan (2021)]"
2021-03-11T10:00:18+0000,"Investors Eye Landscape Post-Covid","[Computers and the Internet|Coronavirus (2019-nCoV)|United States Economy|Stocks and Bonds|E-Commerce|Quarantine (Life and Culture)]"
2021-11-05T09:23:29+0000,"As Wages and Inflation Duel, the Fed Watches","[Inflation (Economics)|Wages and Salaries|Labor and Jobs|Productivity|Prices (Fares, Fees and Rates)|United States Economy|Coronavirus (2019-nCoV)]"
2021-04-07T22:14:42+0000,"How Biden Is Planning To Raise $2.5 Trillion","[Tax Shelters|United States Economy|Tax Cuts and Jobs Act (2017)|Oil (Petroleum) and Gasoline]"
2021-03-04T00:58:45+0000,"Biden Endorses  Lowering Caps  For $1,400 Aid","[Stimulus (Economic)|Income|Coronavirus Aid, Relief, and Economic Security Act (2020)|United States Economy|United States Politics and Government|Coronavirus (2019-nCoV)]"
2021-09-28T09:04:00+0000,"A Debt Breach Would Be Dire, Yellen Testifies","[United States Economy|National Debt (US)|Banking and Financial Institutions|United States Politics and Government]"
2021-04-26T19:45:50+0000,"The Fed Grapples With Digital Currency","[Banking and Financial Institutions|Virtual Currency|US Dollar (Currency)|United States Economy|Libra (Currency)|Content Type: Service]"
2021-02-23T12:32:44+0000,"Markets Rise As Fed Chief Says Support Will Remain","[United States Economy|Stocks and Bonds|Inflation (Economics)|Standard & Poor's 500-Stock Index]"
2021-04-24T14:01:53+0000,"Climate Goals Carry Big Risk Or a Big Payoff","[Global Warming|Greenhouse Gas Emissions|American Jobs Plan (2021)|Electric and Hybrid Vehicles|Electric Light and Power|Alternative and Renewable Energy|Solar Energy|Wind Power|Factories and Manufacturing|Regulation and Deregulation of Industry|Coal|Oil (Petroleum) and Gasoline|United States Economy|United States Politics and Government|Labor and Jobs]"
2021-06-26T15:12:03+0000,"Biden’s Efforts At Race Equity Run Into Snags","[American Rescue Plan (2021)|Agriculture and Farming|Discrimination|Race and Ethnicity|Minorities|Suits and Litigation (Civil)|United States Economy|United States Politics and Government]"
2021-03-31T14:28:19+0000,"Tax Pitch Challenges G.O.P. Notions on Lifting Economy","[Infrastructure (Public Works)|Corporate Taxes|Federal Taxes (US)|Stimulus (Economic)|United States Economy|United States Politics and Government|Corporations|American Jobs Plan (2021)]"
2021-03-03T19:23:30+0000,"Economy Is Healthy, So Investors Are Skittish","[United States Economy|Interest Rates|Stocks and Bonds|Standard & Poor's 500-Stock Index|Inflation (Economics)|Stimulus (Economic)|Credit and Debt|Government Bonds]"
2021-09-01T19:40:54+0000,"U.S. Groups Seek Clarity On China","[International Trade and World Market|Customs (Tariff)|United States Economy|United States International Relations|United States Politics and Government|Corporations]"
2021-08-06T13:49:38+0000,"Job Market We Wanted Has Arrived","[Labor and Jobs|United States Economy|Unemployment|Part-Time Employment]"
2021-04-19T07:00:13+0000,"Warnings Of Politics Swaying Fed Cross Aisle","[United States Economy|Banking and Financial Institutions|United States Politics and Government|Global Warming|Race and Ethnicity]"
2021-07-06T21:56:37+0000,"Rising Gas Prices Pose Obstacle For Biden’s Policies on Economy","[United States Economy|Oil (Petroleum) and Gasoline|Prices (Fares, Fees and Rates)|Inflation (Economics)|United States Politics and Government|Production|Gasoline Tax (US)|Coronavirus (2019-nCoV)]"
2021-11-22T14:00:20+0000,"President Seeks to Retain Powell As Leader of Fed","[United States Economy|United States Politics and Government|Appointments and Executive Changes]"
2021-11-05T22:58:55+0000,"A State of the Union Both Bitter and Gloomy","[Coronavirus (2019-nCoV)|United States Politics and Government|United States Economy|Polls and Public Opinion|Voting and Voters]"
2021-08-27T14:00:28+0000,"Fed Signals It May Taper Bond Buying","[Coronavirus Delta Variant|United States Economy|Inflation (Economics)|Interest Rates|Quantitative Easing|Government Bonds|Consumer Behavior|International Trade and World Market|Coronavirus Reopenings]"
2021-02-01T08:00:11+0000,"Efficiency Of Loan Aid Is Questioned","[United States Economy|Small Business|Layoffs and Job Reductions|Shutdowns (Institutional)|Federal Aid (US)|Recession and Depression|Coronavirus (2019-nCoV)|Stimulus (Economic)|Law and Legislation|Banking and Financial Institutions|Coronavirus Aid, Relief, and Economic Security Act (2020)]"
2021-12-02T08:00:13+0000,"Omicron Looms Large as Threat to a Fragile Global Recovery","[Coronavirus Omicron Variant|Disease Rates|Vaccination and Immunization|Quarantines|Economic Conditions and Trends|Travel Warnings|Travel and Vacations|United States Economy]"
2021-05-05T18:19:28+0000,"Fed Resolute Amid Fears Of Inflation","[Interest Rates|Inflation (Economics)|United States Economy]"
2021-11-24T10:00:24+0000,"Recovery Bet Haunts Biden","[Inflation (Economics)|Prices (Fares, Fees and Rates)|American Rescue Plan (2021)|Consumer Price Index|United States Politics and Government|United States Economy|International Trade and World Market|Shortages|Coronavirus Delta Variant|Consumer Behavior]"
2021-07-16T16:07:40+0000,"Yellen Says China Deal ‘Hurt American Consumers’","[United States International Relations|Customs (Tariff)|International Trade and World Market|Economic Conditions and Trends|United States Economy|United States Politics and Government|Automobiles|Human Rights and Human Rights Violations]"
2021-04-27T09:00:18+0000,"Biden Seeking Stronger I.R.S. To Fund Goals","[United States Politics and Government|Federal Taxes (US)|United States Economy|Corporate Taxes|Tax Shelters|Income Tax|High Net Worth Individuals|Federal Budget (US)|Tax Evasion|American Families Plan (2021)]"
2021-03-06T16:48:15+0000,"Biden Lifts Poor to Help The Recovery","[American Rescue Plan (2021)|Stimulus (Economic)|Coronavirus (2019-nCoV)|Income Inequality|Poverty|Labor and Jobs|Tax Cuts and Jobs Act (2017)|United States Economy|United States Politics and Government]"
