datetime,headline,keywords
2023-07-05T09:00:28+0000,"A Global Battle to Rein In Prices","[Inflation (Economics)|Economic Conditions and Trends|United States Economy|Interest Rates|Banking and Financial Institutions]"
2023-07-28T12:38:12+0000,"Economic Data Swelling Hopes Of Soft Landing","[Consumer Behavior|Inflation (Economics)|Prices (Fares, Fees and Rates)|Interest Rates|United States Economy]"
2023-07-05T18:10:48+0000,"Not All at Fed Wanted Hold On Rate Rise","[United States Economy|Interest Rates|Prices (Fares, Fees and Rates)|Inflation (Economics)|Consumer Behavior]"
2023-05-27T09:00:41+0000,"Hustle Till It Hurts: Gig Work’s Luster Dims","[Freelancing, Self-Employment and Independent Contracting|Wages and Salaries|Income|United States Economy|Car Services and Livery Cabs|Writing and Writers|Law and Legislation]"
2023-04-25T15:15:43+0000,"Liabilities? Yes. But Solid Footholds.","[Presidential Election of 2024|United States Economy|United States Politics and Government|Polls and Public Opinion|Age, Chronological|Infrastructure Investment and Jobs Act (2021)|Inflation Reduction Act of 2022]"
2023-05-10T09:00:08+0000,"Inflation Slows, But Data Hints It’s ‘Still Sticky’","[United States Economy|Inflation (Economics)|Prices (Fares, Fees and Rates)|Consumer Price Index|Interest Rates]"
2023-11-20T16:40:26+0000,"Americans Say Economy Is Bad. Their Spending Begs to Differ.","[United States Economy|Inflation (Economics)|Polls and Public Opinion|Presidential Election of 2024|Consumer Behavior|Wages and Salaries]"
2023-01-01T10:00:16+0000,"Watching China, U.S. Pours Cash Into Chip Making","[Factories and Manufacturing|Computer Chips|Computers and the Internet|Colleges and Universities|United States Economy|Foreign Workers|International Relations|International Trade and World Market|Tax Credits, Deductions and Exemptions|United States Politics and Government]"
2023-05-18T23:02:52+0000,"Liberals Balking As Biden Weighs G.O.P. Debt Offer","[National Debt (US)|Federal Budget (US)|United States Economy|United States Politics and Government|Fourteenth Amendment (US Constitution)|Welfare (US)|Medicaid|Food Stamps]"
2023-06-16T13:50:40+0000,"Stock Rally Raises Debate Over What Will Come Next","[Stocks and Bonds|Standard & Poor's 500-Stock Index|Interest Rates|Inflation (Economics)|United States Economy]"
2023-02-17T10:00:18+0000,"Stocks Drop On Worries Over Rates","[Standard & Poor's 500-Stock Index|Banking and Financial Institutions|United States Economy|Interest Rates|Inflation (Economics)|Stocks and Bonds|Credit and Debt]"
2023-11-23T16:42:32+0000,"Retailers Worry About Holiday Shoppers’ Mood","[Holidays and Special Occasions|Shopping and Retail|Consumer Behavior|Gifts|E-Commerce|Inflation (Economics)|Black Friday and Cyber Monday (Shopping)|Personal Finances|Student Loans|United States Economy]"
2023-01-12T10:00:19+0000,"Inflation Slows, Signaling Relief","[Consumer Price Index|Prices (Fares, Fees and Rates)|Inflation (Economics)|Oil (Petroleum) and Gasoline|United States Economy|Renting and Leasing (Real Estate)|Interest Rates]"
2023-05-08T19:08:12+0000,"A Brain Drain Is Hurting the F.D.I.C.","[Banking and Financial Institutions|Regulation and Deregulation of Industry|Labor and Jobs|Telecommuting|Hiring and Promotion|Wages and Salaries|United States Economy|Coronavirus (2019-nCoV)|Shortages]"
2023-01-05T10:00:40+0000,"A Texas City Shaping the Future of Trade","[International Trade and World Market|Warehouses|Factories and Manufacturing|Trucks and Trucking|Freight (Cargo)|Supply Chain|Ships and Shipping|United States Economy]"
2023-02-01T16:30:48+0000,"Fed Eases Pace as it Increases Interest Rates ","[Banking and Financial Institutions|Interest Rates|Inflation (Economics)|United States Economy]"
2023-03-13T12:54:40+0000,"Banking Tumult May Push Fed To Move Cautiously on Rates","[audio-neutral-informative|Banking and Financial Institutions|Regulation and Deregulation of Industry|Shutdowns (Institutional)|Interest Rates|United States Economy]"
2023-12-26T10:04:46+0000,"Holiday Spending Rises,  Defying Fears of a Decline","[United States Economy|Consumer Behavior|Shopping and Retail|Labor and Jobs|Wages and Salaries|Holidays and Special Occasions|Christmas|Inflation (Economics)|Discount Selling]"
2023-09-19T09:02:09+0000,"Fed Meeting May Signal Next Phase","[Interest Rates|United States Economy|Inflation (Economics)]"
2023-11-07T16:18:32+0000,"Carmakers Downshift on E.V. Spending as Sales Growth Slows","[Automobiles|Electric and Hybrid Vehicles|Company Reports|Consumer Behavior|United States Economy|Tax Credits, Deductions and Exemptions]"
2023-07-31T13:45:54+0000,"Rising Burden For Mexicans In the U.S.: A Strong Peso","[International Trade and World Market|United States Economy|Mexican Peso (Currency)|Remittances|Currency|Mexican-Americans]"
2023-04-13T09:00:29+0000,"Expectations For Earnings Deteriorate","[Standard & Poor's 500-Stock Index|Company Reports|Banking and Financial Institutions|Stocks and Bonds|United States Economy|Corporations|Recession and Depression]"
2023-11-19T10:01:14+0000,"In Mortgages, Inequity Finds 30-Year Home","[Real Estate and Housing (Residential)|Mortgages|Interest Rates|United States Economy|Prices (Fares, Fees and Rates)|Inflation (Economics)|Banking and Financial Institutions|Income Inequality|audio-neutral-informative]"
2023-11-06T10:03:31+0000,"Guilty Verdicts Could Capsize Trump ’24 Bid","[Presidential Election of 2024|Polls and Public Opinion|United States Economy]"
2023-05-01T17:25:11+0000,"Problems Stood Out in Unsteady Sector","[Regulation and Deregulation of Industry|Banking and Financial Institutions|Stocks and Bonds|Interest Rates|Shutdowns (Institutional)|Real Estate (Commercial)|United States Economy|audio-neutral-informative]"
2023-03-12T14:13:48+0000,"Regulators Move to Protect Funds; New Bank Failure","[Shutdowns (Institutional)|Regulation and Deregulation of Industry|Banking and Financial Institutions|United States Economy|Credit and Debt|Interest Rates|Federal Aid (US)]"
2023-03-17T10:48:10+0000,"Bank Stocks Resume Slide As Relief Over Rescue Fades","[Banking and Financial Institutions|United States Economy|Stocks and Bonds]"
2023-02-22T19:07:47+0000,"Policymakers Still Grappling With Inflation, Fed Minutes Show","[Interest Rates|Inflation (Economics)|United States Economy|Consumer Behavior|Banking and Financial Institutions]"
2023-05-18T19:01:12+0000,"If the U.S.  Defaults, Then What?","[National Debt (US)|Federal Budget (US)|United States Economy|United States Politics and Government|Banking and Financial Institutions|Government Bonds|Stocks and Bonds|Savings|International Trade and World Market|Credit Ratings and Credit Rating Agencies|Standard & Poor's 500-Stock Index]"
2023-05-20T23:00:35+0000,"The Likely Economic Cost Of Flirting With Default","[National Debt (US)|Federal Budget (US)|United States Economy|United States Politics and Government|audio-neutral-informative]"
2023-09-26T05:00:26+0000,"Made in U.S.: Solar Firm Bucks Odds","[Solar Energy|Factories and Manufacturing|Alternative and Renewable Energy|Inflation Reduction Act of 2022|Labor and Jobs|United States Politics and Government|Supply Chain|United States Economy|International Trade and World Market|Forced Labor]"
2023-01-20T08:00:12+0000,"U.S. to Add Environment To Economic Measures","[Global Warming|Environment|Conservation of Resources|Sustainable Living|United States Economy|United States Politics and Government|Gross Domestic Product|Statistics|Economics (Theory and Philosophy)|Federal Budget (US)|Regulation and Deregulation of Industry]"
2023-01-23T10:00:21+0000,"Inflation Is Cooling, but Experts Split on How Fast and How Much ","[United States Economy|Prices (Fares, Fees and Rates)|Inflation (Economics)|Interest Rates]"
2023-07-19T15:00:10+0000,"Debunking Myths Of the Job Market In the Pandemic","[Coronavirus (2019-nCoV)|Labor and Jobs|Recession and Depression|United States Economy|Retirement|Layoffs and Job Reductions|Economics (Theory and Philosophy)|Unemployment|Women and Girls|Men and Boys]"
2023-03-06T08:00:11+0000,"You’re Now a ‘Manager.’ Forget About Overtime Pay.","[Overtime|Wages and Salaries|Labor and Jobs|Workplace Hazards and Violations|Executives and Management (Theory)|Regulation and Deregulation of Industry|Law and Legislation|Fast Food Industry|Suits and Litigation (Civil)|United States Economy]"
2023-10-26T09:02:29+0000," Rising Rates Vex Investors And the Fed","[Government Bonds|Stocks and Bonds|Interest Rates|Inflation (Economics)|United States Economy]"
2023-08-30T12:38:05+0000,"Inflation Cools, But Slow Pace Creates Pitfalls","[United States Economy|Prices (Fares, Fees and Rates)|Oil (Petroleum) and Gasoline|Used Cars|Real Estate and Housing (Residential)|Inflation (Economics)|Interest Rates|Consumer Behavior|Consumer Price Index]"
2023-02-28T21:34:40+0000,"Biden’s Rules Aim to Shape U.S. Business","[Computer Chips|Law and Legislation|Factories and Manufacturing|Corporations|Corporate Social Responsibility|United States Economy|United States Politics and Government]"
2023-12-18T10:00:29+0000,"‘Bond Vigilantes’ Are Back. Not Everyone Is Worried.","[Government Bonds|United States Economy|Federal Budget (US)|National Debt (US)|Stocks and Bonds|Interest Rates]"
2023-09-20T09:01:54+0000,"Aiming for ‘Soft Landing,’ Fed Tries Rate Pause","[Interest Rates|Prices (Fares, Fees and Rates)|Inflation (Economics)|United States Economy|Consumer Behavior]"
2023-09-08T15:32:13+0000,"Doing Business in China  Is Risky, but So Is Retreating","[Economic Conditions and Trends|Foreign Investments|Corporations|United States International Relations|United States Economy]"
2023-02-02T10:00:25+0000,"Home Buyers Inch Back as Rates Fall","[Real Estate and Housing (Residential)|United States Economy|Mortgages]"
2023-08-02T20:58:58+0000,"Downgrade Of U.S. Debt May Not Stall Borrowing","[Credit Ratings and Credit Rating Agencies|United States Politics and Government|United States Economy|Government Bonds|Federal Budget (US)|National Debt (US)]"
2023-01-07T10:00:24+0000,"McCarthy’s Deal for Gavel Raises Fears on Debt Limit ","[National Debt (US)|Federal Budget (US)|United States Economy|United States Politics and Government|Recession and Depression|Conservatism (US Politics)]"
2023-08-25T14:05:25+0000,"More Progress Is Needed On Inflation, Powell Says","[Inflation (Economics)|Interest Rates|United States Economy|Labor and Jobs|Wages and Salaries|Prices (Fares, Fees and Rates)|vis-video]"
2023-06-30T12:42:01+0000,"Key Measure Of Inflation Falls, Giving Slack to Fed","[United States Economy|Consumer Behavior|Inflation (Economics)|Interest Rates]"
2023-09-19T07:00:33+0000,"U.A.W. Strike Places Labor  At Crossroads","[Strikes|Automobiles|Organized Labor|Labor and Jobs|United States Economy|States (US)|Electric and Hybrid Vehicles|Wages and Salaries|Outsourcing|Factories and Manufacturing|United States Politics and Government]"
2023-04-27T13:00:20+0000,"Owners Of Offices Scramble For Loans To Hang On","[Real Estate (Commercial)|Mortgages|Buildings (Structures)|Banking and Financial Institutions|Foreclosures|Landlords|Interest Rates|Property Taxes|Mortgage-Backed Securities|Coronavirus Return to Office|United States Economy]"
2023-01-30T17:16:32+0000,"Wall St. Bets U.S. Will Use Debt Stopgap","[United States Politics and Government|United States Economy|Government Bonds|National Debt (US)|Federal Budget (US)]"
2023-08-23T07:00:19+0000,"In Hot Job Market, Minimum Wage Isn’t Enough to Lure Workers","[Minimum Wage|Wages and Salaries|Labor and Jobs|Law and Legislation|States (US)|United States Economy|Hiring and Promotion|Unemployment]"
2023-11-28T08:00:19+0000,"Even Biden Voters Are Gloomy About Economy, Despite Data","[Presidential Election of 2024|Polls and Public Opinion|United States Economy|Inflation (Economics)|United States Politics and Government|audio-neutral-informative]"
2023-01-06T10:00:47+0000,"Hiring Is Healthy But Pace Receded During December","[Labor and Jobs|Hiring and Promotion|United States Economy|Wages and Salaries|Unemployment|Recession and Depression|Interest Rates|Consumer Behavior|Inflation (Economics)]"
2023-02-09T17:43:44+0000,"Recession Worry  Eases as Growth  Shows Resilience","[United States Economy|Recession and Depression|Inflation (Economics)|Interest Rates|Labor and Jobs|Consumer Behavior|Banking and Financial Institutions|Mortgages]"
2023-02-24T13:39:44+0000,"Measure of Inflation Speeds Up, Muddling Hope of Easy Recovery","[United States Economy|Inflation (Economics)|Interest Rates|Consumer Behavior]"
2023-02-03T10:01:45+0000,"Jobs Report Is Challenge For the Fed","[Labor and Jobs|Wages and Salaries|Interest Rates|Inflation (Economics)|United States Economy|Prices (Fares, Fees and Rates)|Banking and Financial Institutions|Government Bonds]"
2023-12-24T08:01:51+0000,"World Economy Faces a Jumble Of Risk in 2024","[United States Economy|Economic Conditions and Trends|Presidential Election of 2024|International Relations|Israel-Gaza War (2023- )|Russian Invasion of Ukraine (2022)|Prices (Fares, Fees and Rates)|Oil (Petroleum) and Gasoline|International Trade and World Market|Supply Chain|Freight (Cargo)]"
2023-03-04T10:00:15+0000,"May I Interest You in Something Pricier?","[Corporations|Shopping and Retail|Prices (Fares, Fees and Rates)|Company Reports|United States Economy|Inflation (Economics)|Consumer Behavior|Personal Finances|Luxury Goods and Services|Income Inequality]"
2023-11-08T10:01:09+0000,"In Push to Build Electric Cars, Motivating Buyers Falls Short","[Automobiles|Electric and Hybrid Vehicles|Law and Legislation|Tax Credits, Deductions and Exemptions|United States Politics and Government|Batteries|United States Economy|Factories and Manufacturing|Consumer Behavior|Automobile Service and Charging Stations|Personal Finances|Global Warming|Road Trips|Metals and Minerals|Environment|Regulation and Deregulation of Industry]"
2023-05-04T17:59:56+0000,"Powell’s Bet On Inflation: Defy History","[Banking and Financial Institutions|Labor and Jobs|United States Economy|Recession and Depression|Inflation (Economics)|Interest Rates|Wages and Salaries]"
2023-08-10T09:01:03+0000,"As Inflation Inches Up, Silver Lining Is Emerging","[United States Economy|Prices (Fares, Fees and Rates)|Interest Rates|Inflation (Economics)|Consumer Price Index]"
2023-06-02T09:01:09+0000,"Job Growth In the U.S. Was Robust Last Month","[Labor and Jobs|Hiring and Promotion|Wages and Salaries|United States Economy|Unemployment|Interest Rates]"
2023-08-24T09:01:37+0000,"Fed Seems Less Inclined to Inflict Economic Pain as It Works to Cool Inflation","[Banking and Financial Institutions|Government Bonds|United States Economy|Interest Rates|Inflation (Economics)|Economic Conditions and Trends|Labor and Jobs]"
2023-02-03T10:04:57+0000,"U.S. Gained Half a Million Jobs Last Month","[Labor and Jobs|Wages and Salaries|United States Economy|Hiring and Promotion|Unemployment|Interest Rates|Inflation (Economics)|Prices (Fares, Fees and Rates)]"
2023-01-12T08:00:09+0000,"Analysts Look to Corporate Reports With Lowered Expectations","[Company Reports|Standard & Poor's 500-Stock Index|Layoffs and Job Reductions|Corporations|Inflation (Economics)|United States Economy]"
2023-05-28T16:24:41+0000,"Biden Seeks To Woo Allies On Debt Deal","[United States Politics and Government|United States Economy|National Debt (US)|Federal Budget (US)]"
2023-08-07T09:00:58+0000,"Puzzling Out When Rates Will Decline","[Interest Rates|Inflation (Economics)|United States Economy]"
2023-03-08T17:39:58+0000,"Closer Look At Remarks By Fed Chief","[Banking and Financial Institutions|United States Economy|Interest Rates|Inflation (Economics)|National Debt (US)|Federal Budget (US)]"
2023-05-02T15:06:44+0000,"Is Debt Limit Constitutional? Debate Is On.","[Fourteenth Amendment (US Constitution)|National Debt (US)|Federal Budget (US)|United States Economy|United States Politics and Government|Law and Legislation]"
2023-04-11T13:00:09+0000,"I.M.F. Sees Global Risk Of Slowdown","[Banking and Financial Institutions|International Trade and World Market|United States Economy|Economic Conditions and Trends|Inflation (Economics)]"
2023-01-19T10:00:18+0000,"Hits Debt Cap, Heightening Risk of Economic Pain U.S.","[National Debt (US)|Federal Budget (US)|United States Economy|United States Politics and Government|Stocks and Bonds|Stimulus (Economic)|Tax Cuts and Jobs Act (2017)]"
2023-02-02T10:00:28+0000,"In Nebraska, Patriotic Zeal For New Mine","[Mines and Mining|Metals and Minerals|Rare Earths|Rural Areas|Alternative and Renewable Energy|Global Warming|Batteries|Electric and Hybrid Vehicles|Military Aircraft|United States Economy|audio-neutral-informative]"
2023-02-14T14:23:06+0000,"Brainard Will Join Biden Team","[Appointments and Executive Changes|Interest Rates|United States Economy|United States Politics and Government]"
2023-06-14T15:03:13+0000,"In Bid for Time, Fed Ends String Of Raising Rates","[Inflation (Economics)|Interest Rates|United States Economy|Prices (Fares, Fees and Rates)|Banking and Financial Institutions|Government Bonds|Wages and Salaries]"
2023-01-30T14:43:51+0000,"From Boom To Bust","[Used Cars|Inflation (Economics)|Prices (Fares, Fees and Rates)|United States Economy|E-Commerce|Coronavirus (2019-nCoV)]"
2023-04-12T09:00:06+0000,"Inflation Cools: A Hopeful Sign On a Long Road","[United States Economy|Inflation (Economics)|Prices (Fares, Fees and Rates)|Consumer Price Index|Interest Rates]"
2023-02-15T19:00:15+0000,"U.S. is Protecting $19 Trillion Rise in Debt by 2033","[National Debt (US)|Federal Budget (US)|Law and Legislation|United States Economy|United States Politics and Government|Inflation (Economics)|Stimulus (Economic)|Tax Credits, Deductions and Exemptions]"
2023-08-26T09:01:38+0000,"China’s Woes Are Unlikely To Hamper U.S. Growth","[United States Economy|Foreign Investments|International Trade and World Market|United States International Relations|Economic Conditions and Trends|Gross Domestic Product]"
2023-06-21T12:30:09+0000,"Powell Sees Trek Ahead On Inflation","[Interest Rates|Prices (Fares, Fees and Rates)|United States Economy|Inflation (Economics)|vis-video]"
2023-06-14T14:26:00+0000,"‘Do You Want Us to Even Exist?’ Soul-Searching for Smaller Banks","[Banking and Financial Institutions|Credit and Debt|Shutdowns (Institutional)|Stocks and Bonds|United States Economy|Regulation and Deregulation of Industry]"
2023-11-29T08:00:13+0000,"Electric Cars Face Rules On China","[Electric and Hybrid Vehicles|Automobiles|Supply Chain|International Trade and World Market|Batteries|Chemicals|Factories and Manufacturing|Tax Credits, Deductions and Exemptions|United States Economy|Regulation and Deregulation of Industry|Metals and Minerals|United States Politics and Government]"
2023-04-14T11:41:36+0000,"Largest U.S. Banks Report Big Profits Despite Turmoil","[Company Reports|Banking and Financial Institutions|Credit and Debt|United States Economy]"
2023-02-23T10:00:21+0000,"U.S. Funding Drives Rivals In Chip Wars","[Computer Chips|Factories and Manufacturing|Lobbying and Lobbyists|Computers and the Internet|United States Economy|Tax Credits, Deductions and Exemptions]"
2023-12-15T16:30:07+0000,"High Costs  Of Housing Could Hurt  Biden in ’24","[Real Estate and Housing (Residential)|Affordable Housing|Mortgages|Renting and Leasing (Real Estate)|Prices (Fares, Fees and Rates)|Presidential Election of 2024|United States Economy|United States Politics and Government]"
2023-10-24T07:00:18+0000,"New Normal or No Normal?  How Economists Got It Wrong.","[United States Economy|Coronavirus (2019-nCoV)|Economics (Theory and Philosophy)|Interest Rates|Inflation (Economics)|audio-neutral-informative]"
2023-06-21T09:00:45+0000,"Inflation Fight Looking Bright But Isn’t Over","[Inflation (Economics)|Prices (Fares, Fees and Rates)|Interest Rates|United States Economy|Consumer Behavior|Labor and Jobs|Wages and Salaries|Unemployment|Consumer Price Index]"
2023-04-27T09:00:25+0000,"Economy Grows  At Slower Pace;  Spending Surges","[United States Economy|Gross Domestic Product|Inflation (Economics)|Consumer Behavior|Recession and Depression|Interest Rates]"
2023-09-13T09:11:21+0000,"Latest Rise In Inflation Keeps Fed On Its Toes","[United States Economy|Inflation (Economics)|Oil (Petroleum) and Gasoline|Prices (Fares, Fees and Rates)|Consumer Price Index|Consumer Behavior|Interest Rates]"
2023-10-07T09:01:16+0000,"Used E.V.s Becoming A Good Deal","[Electric and Hybrid Vehicles|Used Cars|Automobiles|Tax Credits, Deductions and Exemptions|Batteries|United States Economy|Inflation Reduction Act of 2022|Inflation (Economics)|Supply Chain|Prices (Fares, Fees and Rates)|Shortages]"
2023-03-20T09:00:12+0000,"Bank Woes Complicate Fed Strategy","[Banking and Financial Institutions|Interest Rates|United States Economy|Inflation (Economics)]"
2023-02-03T10:00:37+0000,"Chinese Firms Spend Billions Building Factories in Mexico","[Foreign Investments|Factories and Manufacturing|International Trade and World Market|United States Economy|Supply Chain|International Relations|audio-neutral-informative|vis-photo]"
2023-10-06T08:13:53+0000,"U.S. Jobs Report Shows Economy Is Still Growing","[Labor and Jobs|Hiring and Promotion|United States Economy|Unemployment]"
2023-01-13T17:22:30+0000,"U.S. Set to Hit Debt Limit On Thursday, Yellen Says","[National Debt (US)|Federal Budget (US)|United States Economy|United States Politics and Government|Law and Legislation]"
2023-01-30T10:00:12+0000,"Smaller Fed Rate Increase Expected as Inflation Cools","[Banking and Financial Institutions|Interest Rates|Wages and Salaries|Labor and Jobs|United States Economy|Inflation (Economics)|Consumer Behavior]"
2023-08-03T09:00:30+0000,"Maybe, Just Maybe, Good News Is Good","[United States Economy|Inflation (Economics)|Prices (Fares, Fees and Rates)|Labor and Jobs|Wages and Salaries|Unemployment|Consumer Behavior|Interest Rates]"
2023-10-26T12:33:05+0000,"Consumers Help Bolster U.S.’s Gains In Economy","[United States Economy|Inflation (Economics)|Gross Domestic Product|Labor and Jobs|Consumer Behavior|Savings|Interest Rates]"
2023-10-12T09:01:27+0000,"Optimism But Doubts As Inflation Holds Steady","[United States Economy|Inflation (Economics)|Consumer Price Index|Prices (Fares, Fees and Rates)|Interest Rates|Social Security (US)]"
2023-05-01T23:29:51+0000,"Both Relief and Jitters  As JPMorgan Acquires Troubled First Republic","[Regulation and Deregulation of Industry|Banking and Financial Institutions|Mergers, Acquisitions and Divestitures|Auctions|Stocks and Bonds|Deposit Insurance|United States Economy|United States Politics and Government]"
2023-08-31T12:36:07+0000,"It’s Not Dead  Yet: A Gauge Of Inflation Sees a Rise","[United States Economy|Inflation (Economics)|Prices (Fares, Fees and Rates)|Consumer Behavior|Consumer Price Index|Interest Rates]"
2023-06-26T07:00:13+0000,"Fed’s Efforts Start to Slip In Market For Housing","[Real Estate and Housing (Residential)|Interest Rates|United States Economy|Telecommuting|Inflation (Economics)|Renting and Leasing (Real Estate)|Prices (Fares, Fees and Rates)|Building (Construction)|Millennial Generation]"
2023-01-11T18:32:06+0000,"Perils Lurk If U.S. Hits  Debt Limit","[Personal Finances|United States Economy|United States Politics and Government|Stocks and Bonds|Government Bonds|National Debt (US)|Federal Budget (US)|Budgets and Budgeting|Interest Rates]"
2023-08-03T17:55:19+0000,"Why White House Pushed Back Against Credit Downgrade","[Federal Criminal Case Against Trump (2020 Election Case)|United States Economy|United States Politics and Government|Federal Budget (US)|National Debt (US)|Credit Ratings and Credit Rating Agencies|Social Security (US)|Inflation (Economics)|Interest Rates|Medicare]"
2023-01-31T16:38:26+0000,"Republicans Won’t Say What Cuts They Want","[National Debt (US)|Federal Budget (US)|United States Economy|United States Politics and Government]"
2023-04-28T09:00:23+0000,"Fed Reports Illuminate An Economy Still Uneven","[Banking and Financial Institutions|United States Economy|Wages and Salaries|Inflation (Economics)]"
2023-03-09T17:00:56+0000,"In $6.8 Trillion Budget,  Biden Seeks to Tax Rich  And Increase Social Aid","[Federal Budget (US)|National Debt (US)|United States Economy|United States Politics and Government|Taxation|Tax Credits, Deductions and Exemptions|High Net Worth Individuals]"
2023-12-08T10:03:50+0000,"Job Growth Holding Up As Economy Slows Down","[Labor and Jobs|Strikes|Layoffs and Job Reductions|Hiring and Promotion|Wages and Salaries|Unemployment|United States Economy]"
2023-05-02T20:54:45+0000,"After Rebound,  Factories in U.S.  Fall Into Slump","[Factories and Manufacturing|United States Economy|Labor and Jobs|Recession and Depression|Infrastructure (Public Works)|International Trade and World Market|Infrastructure Investment and Jobs Act (2021)|Inflation Reduction Act of 2022|Quarantine (Life and Culture)]"
2023-12-26T10:04:45+0000,"Wall Street Ends the Year Split Over What to Expect in 2024","[Stocks and Bonds|Standard & Poor's 500-Stock Index|United States Economy|Inflation (Economics)|Russell 2,000 Stock Index]"
2023-05-03T15:16:54+0000,"Fed Raises Rates  Above 5 Percent,  Highest Since ’07","[Interest Rates|Inflation (Economics)|Banking and Financial Institutions|United States Economy]"
2023-10-06T09:04:14+0000,"Hiring Is Up. So Are Rates. Can a Crash Be Avoided?","[United States Economy|Hiring and Promotion|Labor and Jobs|Government Bonds|Interest Rates|Real Estate and Housing (Residential)|Stocks and Bonds|Mortgages|Real Estate (Commercial)|Inflation (Economics)|Credit and Debt]"
2023-03-16T14:15:51+0000,"Biggest U.S. Banks Put Up $30 Billion to Rescue Lender","[Banking and Financial Institutions|Regulation and Deregulation of Industry|United States Economy|United States Politics and Government]"
2023-06-28T09:00:32+0000,"Biden, in Campaign Mode, Lauds the Economy","[United States Economy|United States Politics and Government|Presidential Election of 2024|Infrastructure (Public Works)|Labor and Jobs|Polls and Public Opinion|Inflation (Economics)]"
